"DepHour","Origin","OrigLong","OrigLat","ArrHour","Dest","DestLong","DestLat","n"
"14","ATL",-84.42,33.63,"16","SRQ",-82.55,27.39,17
"21","ATL",-84.42,33.63,"21","PHX",-112.01,33.43,23
"18","ATL",-84.42,33.63,"19","STL",-90.37,38.74,17
"12","ATL",-84.42,33.63,"13","RSW",-81.75,26.53,42
"09","ATL",-84.42,33.63,"10","RSW",-81.75,26.53,15
"15","ATL",-84.42,33.63,"16","RSW",-81.75,26.53,92
"21","ATL",-84.42,33.63,"23","TPA",-82.53,27.97,1
"17","ATL",-84.42,33.63,"18","SRQ",-82.55,27.39,29
"08","ATL",-84.42,33.63,"09","RSW",-81.75,26.53,14
"21","ATL",-84.42,33.63,"22","RIC",-77.31,37.50,48
"12","ATL",-84.42,33.63,"12","STL",-90.37,38.74,37
"10","ATL",-84.42,33.63,"12","PIT",-80.23,40.49,90
"21","ATL",-84.42,33.63,"23","SRQ",-82.55,27.39,72
"14","ATL",-84.42,33.63,"15","SRQ",-82.55,27.39,71
"16","ATL",-84.42,33.63,"17","SAV",-81.20,32.12,72
"17","ATL",-84.42,33.63,"18","RSW",-81.75,26.53,1
"21","ATL",-84.42,33.63,"22","RSW",-81.75,26.53,69
"21","ATL",-84.42,33.63,"22","SRQ",-82.55,27.39,88
"17","ATL",-84.42,33.63,"19","SRQ",-82.55,27.39,57
"20","ATL",-84.42,33.63,"22","RSW",-81.75,26.53,87
"15","ATL",-84.42,33.63,"16","TUL",-95.88,36.19,74
"17","ATL",-84.42,33.63,"19","RIC",-77.31,37.50,83
"14","ATL",-84.42,33.63,"15","SAV",-81.20,32.12,89
"17","ATL",-84.42,33.63,"18","SAV",-81.20,32.12,82
"18","ATL",-84.42,33.63,"20","SRQ",-82.55,27.39,89
"18","ATL",-84.42,33.63,"20","RSW",-81.75,26.53,86
"17","ATL",-84.42,33.63,"18","TPA",-82.53,27.97,15
"14","ATL",-84.42,33.63,"15","SAT",-98.46,29.53,70
"14","ATL",-84.42,33.63,"15","RSW",-81.75,26.53,85
"06","ATL",-84.42,33.63,"07","RDU",-78.78,35.87,170
"18","ATL",-84.42,33.63,"19","SAT",-98.46,29.53,82
"14","ATL",-84.42,33.63,"15","TPA",-82.53,27.97,78
"10","ATL",-84.42,33.63,"12","SRQ",-82.55,27.39,43
"14","ATL",-84.42,33.63,"16","SAT",-98.46,29.53,14
"08","ATL",-84.42,33.63,"10","SLC",-111.97,40.78,90
"22","ATL",-84.42,33.63,"23","SRQ",-82.55,27.39,14
"08","ATL",-84.42,33.63,"09","SAT",-98.46,29.53,90
"21","ATL",-84.42,33.63,"22","SAT",-98.46,29.53,82
"16","ATL",-84.42,33.63,"17","TPA",-82.53,27.97,29
"22","ATL",-84.42,33.63,"22","SAV",-81.20,32.12,14
"15","ATL",-84.42,33.63,"16","TPA",-82.53,27.97,89
"08","ATL",-84.42,33.63,"09","TUL",-95.88,36.19,90
"11","ATL",-84.42,33.63,"11","PNS",-87.18,30.47,90
"11","ATL",-84.42,33.63,"13","SAT",-98.46,29.53,15
"10","ATL",-84.42,33.63,"10","PNS",-87.18,30.47,85
"19","ATL",-84.42,33.63,"20","ROA",-79.97,37.32,38
"11","ATL",-84.42,33.63,"12","SAT",-98.46,29.53,158
"21","ATL",-84.42,33.63,"22","TPA",-82.53,27.97,74
"17","ATL",-84.42,33.63,"19","TPA",-82.53,27.97,41
"22","ATL",-84.42,33.63,"22","PNS",-87.18,30.47,46
"23","ATL",-84.42,33.63,"00","PIT",-80.23,40.49,131
"22","ATL",-84.42,33.63,"21","PNS",-87.18,30.47,43
"23","ATL",-84.42,33.63,"01","PIT",-80.23,40.49,14
"19","ATL",-84.42,33.63,"21","ROC",-77.67,43.11,87
"08","ATL",-84.42,33.63,"09","RDU",-78.78,35.87,90
"09","ATL",-84.42,33.63,"11","ROC",-77.67,43.11,89
"08","ATL",-84.42,33.63,"09","SAN",-117.19,32.73,16
"09","ATL",-84.42,33.63,"10","PIT",-80.23,40.49,73
"12","ATL",-84.42,33.63,"13","PIT",-80.23,40.49,171
"09","ATL",-84.42,33.63,"10","SAN",-117.19,32.73,70
"18","ATL",-84.42,33.63,"19","TUL",-95.88,36.19,90
"16","ATL",-84.42,33.63,"18","TPA",-82.53,27.97,87
"15","ATL",-84.42,33.63,"17","TPA",-82.53,27.97,55
"13","ATL",-84.42,33.63,"15","PIT",-80.23,40.49,89
"13","ATL",-84.42,33.63,"15","SLC",-111.97,40.78,75
"21","ATL",-84.42,33.63,"23","PNS",-87.18,30.47,1
"15","ATL",-84.42,33.63,"17","SLC",-111.97,40.78,81
"17","ATL",-84.42,33.63,"19","PIT",-80.23,40.49,114
"10","ATL",-84.42,33.63,"11","SAV",-81.20,32.12,175
"23","ATL",-84.42,33.63,"00","TPA",-82.53,27.97,174
"19","ATL",-84.42,33.63,"20","SLC",-111.97,40.78,72
"08","ATL",-84.42,33.63,"10","SRQ",-82.55,27.39,88
"14","ATL",-84.42,33.63,"16","ROC",-77.67,43.11,91
"20","ATL",-84.42,33.63,"21","RDU",-78.78,35.87,86
"20","ATL",-84.42,33.63,"22","TOL",-83.80,41.58,87
"13","ATL",-84.42,33.63,"14","SAV",-81.20,32.12,90
"19","ATL",-84.42,33.63,"20","PIT",-80.23,40.49,90
"18","ATL",-84.42,33.63,"20","SLC",-111.97,40.78,17
"13","ATL",-84.42,33.63,"14","RDU",-78.78,35.87,89
"08","ATL",-84.42,33.63,"09","PIT",-80.23,40.49,17
"22","ATL",-84.42,33.63,"23","TPA",-82.53,27.97,88
"07","ATL",-84.42,33.63,"07","STL",-90.37,38.74,21
"18","ATL",-84.42,33.63,"20","RDU",-78.78,35.87,104
"13","ATL",-84.42,33.63,"14","TYS",-83.99,35.81,90
"16","ATL",-84.42,33.63,"17","RDU",-78.78,35.87,104
"11","ATL",-84.42,33.63,"11","TLH",-84.35,30.39,44
"08","ATL",-84.42,33.63,"09","TYS",-83.99,35.81,90
